877;MorningstarP;Profile -- Industry;=smfGetTagContent("http://quotes.morningstar.com/stock/c-company-profile?t=~~~~~","span",1,"</div","Industry")
878;MorningstarP;Profile -- Sector;=smfGetTagContent("http://quotes.morningstar.com/stock/c-company-profile?t=~~~~~","span",1,"</div","Sector")
879;MorningstarP;Profile -- Stock Type;=smfGetTagContent("http://quotes.morningstar.com/stock/c-company-profile?t=~~~~~","span",1,"Stock Type")
880;MorningstarP;Profile -- Stock Style;=TRIM(smfstrExtr(smfGetTagContent("http://quotes.morningstar.com/stock/c-company-profile?t=~~~~~","span",1,"Stock Style"),"</div>","~"))

881;MorningstarT;Take -- Growth;=smfstrExtr(smfGetTagContent("http://quotes.morningstar.com/stock/c-morningstar-take?t=~~~~~","div",0,"idMstarGradeContent","Growth"),"_grade","""")
882;MorningstarT;Take -- Profitability;=smfstrExtr(smfGetTagContent("http://quotes.morningstar.com/stock/c-morningstar-take?t=~~~~~","div",0,"idMstarGradeContent","Profitability"),"_grade","""")
883;MorningStar;Stock Grades -- Financial Health;http://quicktake.morningstar.com/stocknet/printreport.aspx?symbol=~~~~~;2;STOCK GRADES;FINANCIAL HEALTH; ; ;0;0;0;0
4693;MorningstarPO;Valuation - Dividend Yield  - Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Growth Measures;Dividend Yield ; ; ;0;</table;0;0
4694;MorningstarPO;Valuation - Dividend Yield  - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Growth Measures;Dividend Yield ; ; ;0;</table;0;0
4695;MorningstarPO;Valuation - Dividend Yield  - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;Growth Measures;Dividend Yield ; ; ;0;</table;0;0
4696;MorningstarPO;Valuation - Long-Term Earnings - Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Growth Measures;Long-Term Earnings; ; ;0;</table;0;0
4697;MorningstarPO;Valuation - Long-Term Earnings - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Growth Measures;Long-Term Earnings; ; ;0;</table;0;0
4698;MorningstarPO;Valuation - Long-Term Earnings - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;Growth Measures;Long-Term Earnings; ; ;0;</table;0;0
4699;MorningstarPO;Valuation - Historical Earnings - Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Growth Measures;Historical Earnings; ; ;0;</table;0;0
4700;MorningstarPO;Valuation - Historical Earnings - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Growth Measures;Historical Earnings; ; ;0;</table;0;0
4701;MorningstarPO;Valuation - Historical Earnings - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;Growth Measures;Historical Earnings; ; ;0;</table;0;0
4702;MorningstarPO;Valuation - Sales Growth - Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Growth Measures;Sales Growth; ; ;0;</table;0;0
4703;MorningstarPO;Valuation - Sales Growth - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Growth Measures;Sales Growth; ; ;0;</table;0;0
4704;MorningstarPO;Valuation - Sales Growth - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;Growth Measures;Sales Growth; ; ;0;</table;0;0
4705;MorningstarPO;Valuation - Cash-Flow Growth - Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Growth Measures;Cash-Flow Growth; ; ;0;</table;0;0
4706;MorningstarPO;Valuation - Cash-Flow Growth - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Growth Measures;Cash-Flow Growth; ; ;0;</table;0;0
4707;MorningstarPO;Valuation - Cash-Flow Growth - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;Growth Measures;Cash-Flow Growth; ; ;0;</table;0;0
4708;MorningstarPO;Valuation - Book-Value Growth - Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Growth Measures;Book-Value Growth; ; ;0;</table;0;0
4709;MorningstarPO;Valuation - Book-Value Growth - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Growth Measures;Book-Value Growth; ; ;0;</table;0;0
4710;MorningstarPO;Valuation - Book-Value Growth - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;Growth Measures;Book-Value Growth; ; ;0;</table;0;0
4711;MorningstarPO;Asset Allocation - Date;http://portfolios.morningstar.com/fund/summary?t=~~~~~;0;>Asset Allocation;As of; ; ;0;</table;0;0
4712;MorningstarPO;Asset Allocation - Cash - % Long;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Asset Allocation;>Cash; ; ;0;</table;0;0
4713;MorningstarPO;Asset Allocation - Cash - % Short;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Asset Allocation;>Cash; ; ;0;</table;0;0
4714;MorningstarPO;Asset Allocation - Cash - % Net Assets;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Asset Allocation;>Cash; ; ;0;</table;0;0
4715;MorningstarPO;Asset Allocation - Stocks - % Long;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Asset Allocation; ; ;>US Stock|>Stock;0;</table;0;0
4716;MorningstarPO;Asset Allocation - Stocks - % Short;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Asset Allocation; ; ;>US Stock|>Stock;0;</table;0;0
4717;MorningstarPO;Asset Allocation - Stocks - % Net Assets;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Asset Allocation; ; ;>US Stock|>Stock;0;</table;0;0
4718;MorningstarPO;Asset Allocation - Bonds - % Long;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Asset Allocation;>Bond; ; ;0;</table;0;0
4719;MorningstarPO;Asset Allocation - Bonds - % Short;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Asset Allocation;>Bond; ; ;0;</table;0;0
4720;MorningstarPO;Asset Allocation - Bonds - % Net Assets;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Asset Allocation;>Bond; ; ;0;</table;0;0
4721;MorningstarPO;Asset Allocation - Other - % Long;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Asset Allocation;>Other; ; ;0;</table;0;0
4722;MorningstarPO;Asset Allocation - Other - % Short;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Asset Allocation;>Other; ; ;0;</table;0;0
4723;MorningstarPO;Asset Allocation - Other - % Net Assets;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Asset Allocation;>Other; ; ;0;</table;0;0
4724;MorningstarPO;Asset Allocation - Foreign Stocks - % Long;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Asset Allocation;>Non US Stock; ; ;0;</table;0;0
4725;MorningstarPO;Asset Allocation - Foreign Stocks - % Short;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Asset Allocation;>Non US Stock; ; ;0;</table;0;0
4726;MorningstarPO;Asset Allocation - Foreign Stocks - % Net Assets;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Asset Allocation;>Non US Stock; ; ;0;</table;0;0
4728;MorningstarPO;Size - Market Capitalization - % Giant;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Market Capitalization;>Giant; ; ;0;</table;0;0
4729;MorningstarPO;Size - Market Capitalization - % Large;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Market Capitalization;>Large; ; ;0;</table;0;0
4730;MorningstarPO;Size - Market Capitalization - % Medium;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Market Capitalization;>Medium; ; ;0;</table;0;0
4731;MorningstarPO;Size - Market Capitalization - % Small;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Market Capitalization;>Small; ; ;0;</table;0;0
4732;MorningstarPO;Size - Market Capitalization - % Micro;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Market Capitalization;>Micro; ; ;0;</table;0;0
4733;MorningstarPO;Sector Weightings  - Date;http://portfolios.morningstar.com/fund/summary?t=~~~~~;0;>Sector Weightings;As of; ; ;0;</table;0;0
4734;MorningstarPO;Sector Weightings  - Basic Materials - % of Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Sector Weightings;>Basic Materials; ; ;0;</table;0;0
4735;MorningstarPO;Sector Weightings  - Basic Materials - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Sector Weightings;>Basic Materials; ; ;0;</table;0;0
4736;MorningstarPO;Sector Weightings  - Basic Materials - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Sector Weightings;>Basic Materials; ; ;0;</table;0;0
4737;MorningstarPO;Sector Weightings  - Consumer Cyclical - % of Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Sector Weightings;>Consumer Cyclical; ; ;0;</table;0;0
4738;MorningstarPO;Sector Weightings  - Consumer Cyclical - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Sector Weightings;>Consumer Cyclical; ; ;0;</table;0;0
4739;MorningstarPO;Sector Weightings  - Consumer Cyclical - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Sector Weightings;>Consumer Cyclical; ; ;0;</table;0;0
4740;MorningstarPO;Sector Weightings  - Financial Services - % of Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Sector Weightings;>Financial Services; ; ;0;</table;0;0
4741;MorningstarPO;Sector Weightings  - Financial Services - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Sector Weightings;>Financial Services; ; ;0;</table;0;0
4742;MorningstarPO;Sector Weightings  - Financial Services - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Sector Weightings;>Financial Services; ; ;0;</table;0;0
4743;MorningstarPO;Sector Weightings  - Real Estate - % of Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Sector Weightings;>Real Estate; ; ;0;</table;0;0
4744;MorningstarPO;Sector Weightings  - Real Estate - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Sector Weightings;>Real Estate; ; ;0;</table;0;0
4745;MorningstarPO;Sector Weightings  - Real Estate - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Sector Weightings;>Real Estate; ; ;0;</table;0;0
4746;MorningstarPO;Sector Weightings  - Communication Services - % of Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Sector Weightings;>Communication Services; ; ;0;</table;0;0
4747;MorningstarPO;Sector Weightings  - Communication Services - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Sector Weightings;>Communication Services; ; ;0;</table;0;0
4748;MorningstarPO;Sector Weightings  - Communication Services - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Sector Weightings;>Communication Services; ; ;0;</table;0;0
4749;MorningstarPO;Sector Weightings  - Energy - % of Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Sector Weightings;>Energy; ; ;0;</table;0;0
4750;MorningstarPO;Sector Weightings  - Energy - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Sector Weightings;>Energy; ; ;0;</table;0;0
4751;MorningstarPO;Sector Weightings  - Energy - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Sector Weightings;>Energy; ; ;0;</table;0;0
4752;MorningstarPO;Sector Weightings  - Industrials - % of Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Sector Weightings;>Industrials; ; ;0;</table;0;0
4753;MorningstarPO;Sector Weightings  - Industrials - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Sector Weightings;>Industrials; ; ;0;</table;0;0
4754;MorningstarPO;Sector Weightings  - Industrials - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Sector Weightings;>Industrials; ; ;0;</table;0;0
4755;MorningstarPO;Sector Weightings  - Technology - % of Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Sector Weightings;>Technology; ; ;0;</table;0;0
4756;MorningstarPO;Sector Weightings  - Technology - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Sector Weightings;>Technology; ; ;0;</table;0;0
4757;MorningstarPO;Sector Weightings  - Technology - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Sector Weightings;>Technology; ; ;0;</table;0;0
4758;MorningstarPO;Sector Weightings  - Consumer Defensive - % of Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Sector Weightings;>Consumer Defensive; ; ;0;</table;0;0
4759;MorningstarPO;Sector Weightings  - Consumer Defensive - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Sector Weightings;>Consumer Defensive; ; ;0;</table;0;0
4760;MorningstarPO;Sector Weightings  - Consumer Defensive - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Sector Weightings;>Consumer Defensive; ; ;0;</table;0;0
4761;MorningstarPO;Sector Weightings  - Healthcare - % of Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Sector Weightings;>Healthcare; ; ;0;</table;0;0
4762;MorningstarPO;Sector Weightings  - Healthcare - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Sector Weightings;>Healthcare; ; ;0;</table;0;0
4763;MorningstarPO;Sector Weightings  - Healthcare - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Sector Weightings;>Healthcare; ; ;0;</table;0;0
4764;MorningstarPO;Obsolete;="Obsolete"
4765;MorningstarPO;Obsolete;="Obsolete"
4766;MorningstarPO;Obsolete;="Obsolete"
4767;MorningstarPO;Sector Weightings  - Utilities - % of Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;>Sector Weightings;>Utilities; ; ;0;</table;0;0
4768;MorningstarPO;Sector Weightings  - Utilities - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;>Sector Weightings;>Utilities; ; ;0;</table;0;0
4769;MorningstarPO;Sector Weightings  - Utilities - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;>Sector Weightings;>Utilities; ; ;0;</table;0;0
4770;MorningstarPO;International Exposure - Date;http://portfolios.morningstar.com/fund/summary?t=~~~~~;0;World Regions;As of; ; ;0;</table;0;0
4771;MorningstarPO;Regional Exposure - #1 - Region;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Region breakdown; ; ; ;4;</table;0;0
4772;MorningstarPO;Regional Exposure - #1 - % of Assets;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Region breakdown; ; ; ;4;</table;0;0
4773;MorningstarPO;Regional Exposure - #2 - Region;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Region breakdown; ; ; ;6;</table;0;0
4774;MorningstarPO;Regional Exposure - #2 - % of Assets;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Region breakdown; ; ; ;6;</table;0;0
4775;MorningstarPO;Regional Exposure - #3 - Region;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Region breakdown; ; ; ;10;</table;0;0
4776;MorningstarPO;Regional Exposure - #3 - % of Assets;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Region breakdown; ; ; ;10;</table;0;0
4777;MorningstarPO;Regional Exposure - #4 - Region;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Region breakdown; ; ; ;12;</table;0;0
4778;MorningstarPO;Regional Exposure - #4 - % of Assets;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Region breakdown; ; ; ;12;</table;0;0
4779;MorningstarPO;Regional Exposure - #5 - Region;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Region breakdown; ; ; ;14;</table;0;0
4780;MorningstarPO;Regional Exposure - #5 - % of Assets;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Region breakdown; ; ; ;14;</table;0;0
4781;MorningstarPO;Regional Exposure - #6 - Region;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Region breakdown; ; ; ;16;</table;0;0
4782;MorningstarPO;Regional Exposure - #6 - % of Assets;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Region breakdown; ; ; ;16;</table;0;0
4783;MorningstarPO;Regional Exposure - #7 - Region;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Region breakdown; ; ; ;20;</table;0;0
4784;MorningstarPO;Regional Exposure - #7 - % of Assets;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Region breakdown; ; ; ;20;</table;0;0
4785;MorningstarPO;Regional Exposure - #8 - Region;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Region breakdown; ; ; ;22;</table;0;0
4786;MorningstarPO;Regional Exposure - #8 - % of Assets;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Region breakdown; ; ; ;22;</table;0;0
4787;MorningstarPO;Regional Exposure - #9 - Region;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Region breakdown; ; ; ;24;</table;0;0
4788;MorningstarPO;Regional Exposure - #9 - % of Assets;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Region breakdown; ; ; ;24;</table;0;0
4789;MorningstarPO;Regional Exposure - #10 - Region;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Region breakdown; ; ; ;26;</table;0;0
4790;MorningstarPO;Regional Exposure - #10 - % of Assets;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Region breakdown; ; ; ;26;</table;0;0

4811;MorningstarTR;Fund Name;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;0;>Fund: ; ; ; ;0;</table;0;0
4812;MorningstarTR;Fund Comparison Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;0;>Category: ; ; ; ;0;</table;0;0
4813;MorningstarTR;Fund Comparison Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;0;>Index: ; ; ; ;0;</table;0;0
4814;MorningstarTR;Performance History Date;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;Performance History<; ; ; ;0;</table;0;0
4815;MorningstarTR;Trailing Returns Date;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;Trailing Total Returns<; ; ; ;0;</table;0;0
4816;MorningstarTR;Total Return - Date - Y1;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;Quarterly Returns<;Q1; ; ;1;</table;0;0
4817;MorningstarTR;Total Return - Date - Y2;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;Quarterly Returns<;Q1; ; ;2;</table;0;0
4818;MorningstarTR;Total Return - Date - Y3;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;Quarterly Returns<;Q1; ; ;3;</table;0;0
4819;MorningstarTR;Total Return - Date - Y4;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;Quarterly Returns<;Q1; ; ;4;</table;0;0
4820;MorningstarTR;Total Return - Date - Y5;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;Quarterly Returns<;Q1; ; ;5;</table;0;0
4821;MorningstarTR;Total Return - Date - Y6;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;Quarterly Returns<;Q1; ; ;6;</table;0;0
4822;MorningstarTR;Total Return - Date - Y7;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;Quarterly Returns<;Q1; ; ;7;</table;0;0
